isActive|symbol|idGOOGLE|companyName|priceBuy|isBuy|Divident%/year|
0|MU|12441984|Micron Technology, Inc.|0|0|0|
0|MSFT|358464|Microsoft Corporation|32.55|1|0|
0|MRVL|664838|Marvell Technology Group Ltd.|0|0|0|
0|MYGN|658315|Myriad Genetics, Inc.|0|0|0|
0|NAK|696671|Northern Dynasty Minerals Ltd. (USA)|0|0|0|
0|NAN|13832706|Nuveen New York Dividend Advntg Mncpl Fd|13.08|1|0|
0|NCR|659586|NCR Corporation|0|0|0|
0|NE|694969|Nextraction Energy Corp.|0|0|0|
0|NFLX|672501|Netflix, Inc.|0|0|0|
0|NGD|697037|New Gold Inc. (USA)|0|0|0|
0|NIHD|665354|NII Holdings Inc|2.624|1|0|
0|NLY|662081|Annaly Capital Management, Inc.|10.36|1|0|
0|NMR|668913|Nomura Holdings, Inc. (ADR)|6.07|1|0|
0|O|658117|Realty Income Corp|37.76|1|0|
0|OESX|718766|Orion Energy Systems, Inc.|0|0|0|
0|ONVO|343632203739706|Organovo Holdings Inc|0|0|0|
0|OSG|26375|Overseas Shipholding Group Inc.|0|0|0|
0|OSGIQ|26375|Overseas Shipholding Group Inc.|4.5|1|0|
0|ORCL|419344|Oracle Corporation|0|0|0|
0|OXBT|662569|Oxygen Biotherapeutics, Inc.|6.31|1|0|
0|PALM|664304|Palm, Inc.|0|0|0|
0|PAS|38776|PepsiAmericas, Inc.|0|0|0|
0|PBR|664128|Petroleo Brasileiro Petrobras SA (ADR)|11.2|1|0|
0|PCX|719967|Patriot Coal Corporation|0|0|0|
0|PDM|715413|Piedmont Office Realty Trust, Inc.|0|0|0|
0|PFE|664730|Pfizer Inc.|0|0|0|
0|PLCE|660813|Children's Place Retail Stores, Inc.|0|0|0|
0|PM|722661|Philip Morris International Inc.|0|0|0|
0|PRX|26697|Par Pharmaceutical Companies, Inc.|0|0|0|
0|PTRY|663252|The Pantry, Inc.|0|0|0|
0|PWR|661813|Quanta Services Inc|27.15|1|0|
0|PWRD|717303|Perfect World Co., Ltd. (ADR)|0|0|0|
1|QQQ|700146|PowerShares QQQ Trust, Series 1 (ETF)|0|0|0|
0|QTWW|675507|Quantum Fuel Systems Tech Worldwide Inc|7.1599|1|0|
0|R|30515|Ryder System, Inc. -Transport|0|0|0|
0|RDWR|663567|Radware Ltd.|14.23|1|0|
0|RIG|663968|Transocean LTD|0|0|0|
0|ROST|488053|Ross Stores, Inc.|0|0|0|
0|RPAI|281245842133872|Retail Properties of America Inc|0|0|0|
0|RS|657257|Reliance Steel & Aluminum |0|0|0|
0|RT|658868|Ruby Tuesday, Inc.|0|0|0|
0|SBUX|655693|Starbucks Corporation|0|0|0|
0|SCO|4310767|ProShares UltraShort DJ-UBS Crude Oi ETF|31.82|1|0|
0|SDS|714844|ProShares UltraShort S&P500 (ETF)|25.98|1|0|
0|SGOC|719431|SGOCO Group Ltd|0|0|0|
0|SHLD|18800|Sears Holdings Corp|36.19|1|0|
0|SLE|30793|Sara Lee Corp.|0|0|0|
0|SLW|702184|Silver Wheaton Corp. (USA)|0|0|0|
